PrimaryDI|productCode|productCodeName
cd1aecda-448b-42fc-bfd7-3ffcf532de5c|FWM|Prosthesis, breast, inflatable, internal, saline
41e1a35c-86f2-4c04-9853-9a024546626e|FWM|Prosthesis, breast, inflatable, internal, saline
cd155d46-2d12-4d57-a37a-e39654e8ce78|FWM|Prosthesis, breast, inflatable, internal, saline
66418e31-1d68-4834-80aa-64126c554c7e|FWM|Prosthesis, breast, inflatable, internal, saline
81cd1bd5-3d37-40bf-ba0a-ccd064357851|FWM|Prosthesis, breast, inflatable, internal, saline
63ad3365-a539-49fd-ba3a-7115727c1580|FWM|Prosthesis, breast, inflatable, internal, saline
4d1759d1-8660-4d3e-af51-e56d434b56cb|FWM|Prosthesis, breast, inflatable, internal, saline
030d5c27-d380-4ead-a2f0-3076ab536d41|FWM|Prosthesis, breast, inflatable, internal, saline
c47c2927-7977-4f3e-9daa-26c377f34e68|FWM|Prosthesis, breast, inflatable, internal, saline
de8cda81-2c85-41cf-9970-b18451a0a4b7|FWM|Prosthesis, breast, inflatable, internal, saline
d6e414ce-cfcc-4121-ba23-160023d8bd68|FWM|Prosthesis, breast, inflatable, internal, saline
40b628c7-5a4f-4e19-b22b-ade7fc04c209|FWM|Prosthesis, breast, inflatable, internal, saline
89bab6a5-f7b3-4c67-ac49-2a46114b9b14|FWM|Prosthesis, breast, inflatable, internal, saline
58a2ab9a-e01b-4bce-9ef9-e4c5ffacf0df|FWM|Prosthesis, breast, inflatable, internal, saline
d9ed7815-f919-419d-a269-47ca9f45268c|FWM|Prosthesis, breast, inflatable, internal, saline
42f2dfab-169a-4611-9a1b-62fe48356dd5|FWM|Prosthesis, breast, inflatable, internal, saline
53b68134-589b-443e-87b2-2fae511c5117|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
f393e95a-44de-44f1-9bfe-3f786dadb6da|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
94a7fd79-13ea-4a0a-9a3f-c849b1eb2f3b|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
97bc82c2-a2b9-430d-a94e-f27021a8c9c7|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
6f5a66e9-3de6-4ce7-bf3b-889a1d14e0e6|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
aa62cdf2-986c-4cc7-8e66-76502870eb63|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
459d5299-a14d-47f7-9951-847d4fbd83f5|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
4ed6f8aa-8c58-44b3-ac3b-08fb0f665cca|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
ded01b82-260a-467f-a332-c9405d709fd2|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
360586b3-327c-42a1-a73a-055f4d2ae37c|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
f85a2054-3ffd-4128-9484-e524d91b9489|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
b512b950-23d3-40eb-9caf-bf2246357c36|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
f1be1dbd-08b1-4dae-843c-02a3b424aa06|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
e45a3084-899e-4d25-a822-2a2925016400|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
20a7de13-623a-47cc-a0a0-adf7e27b2297|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
cb4b64b5-00bf-4f8a-af4a-a8b4c9295a5f|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
67e029eb-3fab-424b-b3c1-3cd34f8e17c6|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
f306a976-bc7c-40b1-ab52-68f2bd1311bb|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
c4d45b12-1a0f-4dc0-a73a-661ee9c7c4a2|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
e555612a-a59b-4d8e-b69d-762e222f1a5b|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
d476ff03-7eab-419e-91fa-b26778a877e2|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
027f7df6-ae10-4cc8-9db1-cb9d69e82e3a|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
c5e3392f-a22f-4c02-91e8-868e8937b1f6|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
df37ecaa-d8f7-4019-b0cc-13a149a70423|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
5ef4782d-9a4c-46c3-993e-3e08d6d6fe8a|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
46868fad-30db-463b-8555-2489eceda955|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
6109da21-fe30-4a1f-9b1e-649f41d967e1|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
3f031469-f148-408b-b1f2-736084600a62|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
e84ccd9f-30f4-4cc3-a20d-d42ce5a20786|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
7a34e09c-aeb6-4950-865c-8b33587f466a|FWM|Prosthesis, Breast, Inflatable, Internal, Saline
